,Secteur,Scenario
0,1,3
6,2,3
11,3,11
17,4,11
19,5,11
21,6,11
24,1,3
30,2,3
35,3,11
41,4,11
43,5,11
45,6,11
48,1,3
54,2,3
59,3,11
65,4,11
67,5,11
69,6,11
72,1,3
78,2,3
83,3,11
89,4,11
91,5,11
93,6,11
96,1,3
102,2,3
107,3,11
113,4,11
115,5,11
117,6,11
120,1,3
126,2,15
131,3,11
137,4,11
139,5,11
141,6,11
144,1,3
150,2,3
155,3,11
161,4,11
163,5,11
165,6,11
168,1,3
174,2,15
179,3,11
185,4,11
187,5,11
189,6,11
192,1,3
198,2,3
203,3,11
209,4,11
211,5,11
213,6,11
216,1,15
222,2,3
227,3,11
233,4,11
235,5,11
237,6,11
240,1,15
246,2,3
251,3,11
257,4,11
259,5,11
261,6,11
264,1,11
270,2,3
275,3,11
281,4,3
283,5,11
285,6,3
288,1,3
294,2,3
299,3,11
305,4,11
307,5,11
309,6,11
312,1,11
318,2,3
323,3,11
329,4,15
331,5,11
333,6,3
336,1,3
342,2,15
347,3,11
353,4,11
355,5,11
357,6,11
360,1,3
366,2,15
371,3,11
377,4,11
379,5,11
381,6,11
384,1,15
390,2,3
395,3,11
401,4,11
403,5,11
405,6,11
408,1,11
414,2,3
419,3,11
425,4,15
427,5,11
429,6,3
432,1,11
438,2,3
443,3,11
449,4,3
451,5,11
453,6,3
456,1,3
462,2,15
467,3,11
473,4,11
475,5,11
477,6,11
480,1,11
486,2,3
491,3,11
497,4,3
499,5,11
501,6,15
504,1,15
510,2,3
515,3,11
521,4,11
523,5,11
525,6,11
528,1,11
534,2,3
539,3,11
545,4,15
547,5,11
549,6,3
552,1,3
558,2,15
563,3,11
569,4,11
571,5,11
573,6,11
576,1,11
582,2,3
587,3,11
593,4,3
595,5,11
597,6,3
600,1,11
606,2,3
611,3,11
617,4,2
619,5,11
621,6,3
624,1,3
630,2,15
635,3,11
641,4,11
643,5,11
645,6,11
648,1,3
654,2,15
659,3,11
665,4,11
667,5,11
669,6,11
672,1,15
678,2,3
683,3,11
689,4,11
691,5,11
693,6,11
696,1,3
702,2,15
707,3,11
713,4,11
715,5,11
717,6,11
720,1,3
726,2,15
731,3,11
737,4,11
739,5,11
741,6,11
744,1,15
750,2,3
755,3,11
761,4,11
763,5,11
765,6,11
768,1,11
774,2,3
779,3,11
785,4,3
787,5,11
789,6,3
792,1,15
798,2,3
803,3,11
809,4,11
811,5,11
813,6,11
816,1,3
822,2,15
827,3,11
833,4,11
835,5,11
837,6,11
840,1,15
846,2,15
851,3,11
857,4,11
859,5,11
861,6,11
864,1,15
870,2,3
875,3,11
881,4,11
883,5,11
885,6,11
888,1,15
894,2,15
899,3,11
905,4,11
907,5,11
909,6,11
912,1,15
918,2,3
923,3,11
929,4,11
931,5,11
933,6,11
936,1,11
942,2,15
947,3,11
953,4,3
955,5,11
957,6,3
960,1,15
966,2,3
971,3,11
977,4,11
979,5,11
981,6,11
984,1,15
990,2,3
995,3,11
1001,4,11
1003,5,11
1005,6,11
1008,1,3
1014,2,2
1019,3,11
1025,4,11
1027,5,11
1029,6,11
1032,1,11
1038,2,3
1043,3,11
1049,4,15
1051,5,11
1053,6,3
1056,1,11
1062,2,3
1067,3,11
1073,4,15
1075,5,11
1077,6,15
1080,1,3
1086,2,2
1091,3,11
1097,4,11
1099,5,11
1101,6,11
1104,1,11
1110,2,3
1115,3,3
1121,4,11
1123,5,11
1125,6,11
1128,1,11
1134,2,3
1139,3,11
1145,4,11
1147,5,3
1149,6,3
1152,1,11
1158,2,3
1163,3,3
1169,4,11
1171,5,11
1173,6,11
1176,1,11
1182,2,3
1187,3,3
1193,4,11
1195,5,11
1197,6,11
1200,1,11
1206,2,3
1211,3,11
1217,4,15
1219,5,11
1221,6,3
1224,1,2
1230,2,3
1235,3,11
1241,4,11
1243,5,11
1245,6,11
1248,1,11
1254,2,3
1259,3,11
1265,4,11
1267,5,3
1269,6,3
1272,1,2
1278,2,3
1283,3,11
1289,4,11
1291,5,11
1293,6,11
1296,1,3
1302,2,3
1307,3,11
1313,4,11
1315,5,11
1317,6,11
1320,1,11
1326,2,3
1331,3,11
1337,4,3
1339,5,11
1341,6,15
1344,1,3
1350,2,15
1355,3,11
1361,4,11
1363,5,11
1365,6,11
1368,1,3
1374,2,3
1379,3,11
1385,4,11
1387,5,11
1389,6,11
1392,1,11
1398,2,15
1403,3,11
1409,4,15
1411,5,11
1413,6,3
1416,1,11
1422,2,3
1427,3,11
1433,4,15
1435,5,11
1437,6,3
1440,1,15
1446,2,3
1451,3,11
1457,4,11
1459,5,11
1461,6,11
1464,1,11
1470,2,3
1475,3,11
1481,4,15
1483,5,11
1485,6,15
1488,1,11
1494,2,3
1499,3,11
1505,4,3
1507,5,11
1509,6,15
1512,1,11
1518,2,3
1523,3,11
1529,4,3
1531,5,11
1533,6,15
1536,1,11
1542,2,3
1547,3,11
1553,4,15
1555,5,11
1557,6,3
1560,1,11
1566,2,3
1571,3,11
1577,4,15
1579,5,11
1581,6,15
1584,1,15
1590,2,15
1595,3,11
1601,4,11
1603,5,11
1605,6,11
1608,1,3
1614,2,15
1619,3,11
1625,4,11
1627,5,11
1629,6,11
1632,1,3
1638,2,3
1643,3,11
1649,4,11
1651,5,11
1653,6,11
1656,1,11
1662,2,3
1667,3,11
1673,4,15
1675,5,11
1677,6,3
1680,1,11
1686,2,3
1691,3,11
1697,4,2
1699,5,11
1701,6,3
1704,1,11
1710,2,3
1715,3,11
1721,4,3
1723,5,11
1725,6,15
1728,1,11
1734,2,3
1739,3,11
1745,4,11
1747,5,15
1749,6,3
1752,1,11
1758,2,3
1763,3,11
1769,4,2
1771,5,11
1773,6,3
1776,1,11
1782,2,3
1787,3,11
1793,4,2
1795,5,11
1797,6,15
1800,1,3
1806,2,15
1811,3,11
1817,4,11
1819,5,11
1821,6,11
1824,1,3
1830,2,3
1835,3,11
1841,4,11
1843,5,11
1845,6,11
1848,1,11
1854,2,3
1859,3,11
1865,4,15
1867,5,11
1869,6,3
1872,1,11
1878,2,3
1883,3,11
1889,4,3
1891,5,11
1893,6,2
1896,1,11
1902,2,3
1907,3,3
1913,4,11
1915,5,11
1917,6,11
1920,1,3
1926,2,15
1931,3,11
1937,4,11
1939,5,11
1941,6,11
1944,1,15
1950,2,3
1955,3,11
1961,4,11
1963,5,11
1965,6,11
1968,1,11
1974,2,3
1979,3,11
1985,4,11
1987,5,15
1989,6,3
1992,1,11
1998,2,3
2003,3,11
2009,4,2
2011,5,11
2013,6,3
2016,1,11
2022,2,3
2027,3,11
2033,4,3
2035,5,11
2037,6,3
2040,1,11
2046,2,3
2051,3,11
2057,4,3
2059,5,11
2061,6,15
2064,1,3
2070,2,15
2075,3,11
2081,4,11
2083,5,11
2085,6,11
2088,1,11
2094,2,3
2099,3,3
2105,4,11
2107,5,11
2109,6,11
2112,1,15
2118,2,3
2123,3,11
2129,4,11
2131,5,11
2133,6,11
2136,1,15
2142,2,15
2147,3,11
2153,4,11
2155,5,11
2157,6,11
2160,1,11
2166,2,15
2171,3,11
2177,4,15
2179,5,11
2181,6,3
2184,1,11
2190,2,15
2195,3,11
2201,4,3
2203,5,11
2205,6,3
2208,1,11
2214,2,3
2219,3,11
2225,4,3
2227,5,11
2229,6,3
2232,1,11
2238,2,3
2243,3,11
2249,4,15
2251,5,11
2253,6,15
2256,1,11
2262,2,15
2267,3,11
2273,4,3
2275,5,11
2277,6,15
2280,1,3
2286,2,11
2291,3,11
2297,4,3
2299,5,11
2301,6,3
2304,1,3
2310,2,15
2315,3,11
2321,4,11
2323,5,11
2325,6,11
2328,1,11
2334,2,3
2339,3,11
2345,4,3
2347,5,11
2349,6,3
2352,1,15
2358,2,3
2363,3,11
2369,4,11
2371,5,11
2373,6,11
2376,1,15
2382,2,15
2387,3,11
2393,4,11
2395,5,11
2397,6,11
2400,1,11
2406,2,15
2411,3,11
2417,4,15
2419,5,11
2421,6,3
2424,1,11
2430,2,3
2435,3,11
2441,4,3
2443,5,11
2445,6,3
2448,1,3
2454,2,15
2459,3,11
2465,4,11
2467,5,11
2469,6,11
2472,1,11
2478,2,3
2483,3,3
2489,4,11
2491,5,11
2493,6,11
2496,1,11
2502,2,3
2507,3,11
2513,4,15
2515,5,11
2517,6,15
2520,1,15
2526,2,3
2531,3,11
2537,4,11
2539,5,11
2541,6,11
2544,1,11
2550,2,3
2555,3,11
2561,4,15
2563,5,11
2565,6,15
2568,1,3
2574,2,15
2579,3,11
2585,4,11
2587,5,11
2589,6,11
2592,1,15
2598,2,15
2603,3,11
2609,4,11
2611,5,11
2613,6,11
2616,1,11
2622,2,15
2627,3,11
2633,4,3
2635,5,11
2637,6,3
2640,1,3
2646,2,2
2651,3,11
2657,4,11
2659,5,11
2661,6,11
2664,1,3
2670,2,11
2675,3,11
2681,4,3
2683,5,11
2685,6,3
2688,1,11
2694,2,15
2699,3,11
2705,4,2
2707,5,11
2709,6,3
2712,1,11
2718,2,3
2723,3,11
2729,4,11
2731,5,3
2733,6,15
2736,1,3
2742,2,15
2747,3,11
2753,4,11
2755,5,11
2757,6,11
2760,1,15
2766,2,15
2771,3,11
2777,4,11
2779,5,11
2781,6,11
2784,1,15
2790,2,3
2795,3,11
2801,4,11
2803,5,11
2805,6,11
2808,1,3
2814,2,2
2819,3,11
2825,4,11
2827,5,11
2829,6,11
2832,1,15
2838,2,15
2843,3,11
2849,4,11
2851,5,11
2853,6,11
2856,1,11
2862,2,15
2867,3,11
2873,4,3
2875,5,11
2877,6,3
2880,1,11
2886,2,3
2891,3,11
2897,4,11
2899,5,15
2901,6,3
2904,1,11
2910,2,3
2915,3,11
2921,4,11
2923,5,3
2925,6,3
2928,1,3
2934,2,15
2939,3,11
2945,4,11
2947,5,11
2949,6,11
2952,1,11
2958,2,3
2963,3,11
2969,4,15
2971,5,11
2973,6,15
2976,1,15
2982,2,3
2987,3,11
2993,4,11
2995,5,11
2997,6,11
3000,1,11
3006,2,3
3011,3,3
3017,4,11
3019,5,11
3021,6,11
3024,1,15
3030,2,15
3035,3,11
3041,4,11
3043,5,11
3045,6,11
3048,1,3
3054,2,15
3059,3,11
3065,4,11
3067,5,11
3069,6,11
3072,1,15
3078,2,15
3083,3,11
3089,4,11
3091,5,11
3093,6,11
3096,1,11
3102,2,3
3107,3,11
3113,4,11
3115,5,15
3117,6,3
3120,1,11
3126,2,15
3131,3,11
3137,4,3
3139,5,11
3141,6,3
3144,1,15
3150,2,15
3155,3,11
3161,4,11
3163,5,11
3165,6,11
3168,1,15
3174,2,3
3179,3,11
3185,4,11
3187,5,11
3189,6,11
3192,1,11
3198,2,3
3203,3,11
3209,4,11
3211,5,3
3213,6,15
3216,1,11
3222,2,3
3227,3,11
3233,4,15
3235,5,11
3237,6,2
3240,1,2
3246,2,3
3251,3,11
3257,4,11
3259,5,11
3261,6,11
3264,1,15
3270,2,15
3275,3,11
3281,4,11
3283,5,11
3285,6,11
3288,1,15
3294,2,15
3299,3,11
3305,4,11
3307,5,11
3309,6,11
3312,1,11
3318,2,3
3323,3,11
3329,4,11
3331,5,15
3333,6,3
3336,1,11
3342,2,3
3347,3,11
3353,4,11
3355,5,3
3357,6,3
3360,1,11
3366,2,15
3371,3,11
3377,4,3
3379,5,11
3381,6,3
3384,1,15
3390,2,3
3395,3,11
3401,4,11
3403,5,11
3405,6,11
3408,1,15
3414,2,15
3419,3,11
3425,4,11
3427,5,11
3429,6,11
3432,1,11
3438,2,3
3443,3,11
3449,4,11
3451,5,2
3453,6,3
3456,1,15
3462,2,15
3467,3,11
3473,4,11
3475,5,11
3477,6,11
3480,1,2
3486,2,3
3491,3,11
3497,4,11
3499,5,11
3501,6,11
3504,1,11
3510,2,3
3515,3,11
3521,4,11
3523,5,15
3525,6,3
3528,1,15
3534,2,3
3539,3,11
3545,4,11
3547,5,11
3549,6,11
3552,1,15
3558,2,15
3563,3,11
3569,4,11
3571,5,11
3573,6,11
3576,1,11
3582,2,3
3587,3,11
3593,4,15
3595,5,11
3597,6,15
3600,1,11
3606,2,3
3611,3,11
3617,4,3
3619,5,11
3621,6,15
3624,1,3
3630,2,2
3635,3,11
3641,4,11
3643,5,11
3645,6,11
3648,1,15
3654,2,3
3659,3,11
3665,4,11
3667,5,11
3669,6,11
3672,1,11
3678,2,3
3683,3,11
3689,4,15
3691,5,11
3693,6,15
3696,1,11
3702,2,15
3707,3,11
3713,4,15
3715,5,11
3717,6,3
3720,1,3
3726,2,3
3731,3,11
3737,4,11
3739,5,11
3741,6,11
3744,1,11
3750,2,15
3755,3,11
3761,4,15
3763,5,11
3765,6,15
3768,1,3
3774,2,2
3779,3,11
3785,4,11
3787,5,11
3789,6,11
3792,1,3
3798,2,11
3803,3,11
3809,4,15
3811,5,11
3813,6,3
3816,1,11
3822,2,15
3827,3,3
3833,4,11
3835,5,11
3837,6,11
3840,1,11
3846,2,3
3851,3,11
3857,4,11
3859,5,2
3861,6,3
3864,1,11
3870,2,3
3875,3,11
3881,4,11
3883,5,3
3885,6,3
3888,1,11
3894,2,3
3899,3,11
3905,4,15
3907,5,11
3909,6,15
3912,1,11
3918,2,3
3923,3,11
3929,4,15
3931,5,11
3933,6,15
3936,1,11
3942,2,15
3947,3,11
3953,4,11
3955,5,3
3957,6,3
3960,1,11
3966,2,3
3971,3,11
3977,4,3
3979,5,11
3981,6,15
3984,1,3
3990,2,2
3995,3,11
4001,4,11
4003,5,11
4005,6,11
4008,1,15
4014,2,2
4019,3,11
4025,4,11
4027,5,11
4029,6,11
4032,1,11
4038,2,3
4043,3,11
4049,4,15
4051,5,11
4053,6,3
4056,1,3
4062,2,3
4067,3,11
4073,4,11
4075,5,11
4077,6,11
4080,1,11
4086,2,3
4091,3,11
4097,4,3
4099,5,11
4101,6,15
4104,1,11
4110,2,15
4115,3,3
4121,4,11
4123,5,11
4125,6,11
4128,1,11
4134,2,3
4139,3,11
4145,4,2
4147,5,11
4149,6,15
4152,1,11
4158,2,3
4163,3,11
4169,4,15
4171,5,11
4173,6,15
4176,1,11
4182,2,3
4187,3,11
4193,4,15
4195,5,11
4197,6,15
4200,1,11
4206,2,15
4211,3,3
4217,4,11
4219,5,11
4221,6,11
4224,1,15
4230,2,2
4235,3,11
4241,4,11
4243,5,11
4245,6,11
4248,1,11
4254,2,15
4259,3,11
4265,4,15
4267,5,11
4269,6,3
4272,1,11
4278,2,2
4283,3,11
4289,4,3
4291,5,11
4293,6,3
4296,1,11
4302,2,3
4307,3,11
4313,4,9
4315,5,11
4317,6,3
4320,1,3
4326,2,11
4331,3,11
4337,4,15
4339,5,11
4341,6,3
4344,1,2
4350,2,3
4355,3,11
4361,4,11
4363,5,11
4365,6,11
4368,1,3
4374,2,15
4379,3,11
4385,4,11
4387,5,11
4389,6,11
4392,1,2
4398,2,15
4403,3,11
4409,4,11
4411,5,11
4413,6,11
4416,1,11
4422,2,3
4427,3,11
4433,4,11
4435,5,3
4437,6,3
4440,1,11
4446,2,3
4451,3,11
4457,4,15
4459,5,11
4461,6,15
4464,1,11
4470,2,15
4475,3,11
4481,4,11
4483,5,3
4485,6,3
4488,1,11
4494,2,3
4499,3,11
4505,4,3
4507,5,11
4509,6,15
4512,1,11
4518,2,3
4523,3,11
4529,4,2
4531,5,11
4533,6,3
4536,1,11
4542,2,3
4547,3,11
4553,4,2
4555,5,11
4557,6,15
4560,1,11
4566,2,3
4571,3,11
4577,4,11
4579,5,15
4581,6,15
4584,1,11
4590,2,3
4595,3,11
4601,4,2
4603,5,11
4605,6,15
4608,1,11
4614,2,15
4619,3,11
4625,4,15
4627,5,11
4629,6,3
4632,1,11
4638,2,3
4643,3,3
4649,4,11
4651,5,11
4653,6,11
4656,1,11
4662,2,3
4667,3,11
4673,4,2
4675,5,11
4677,6,15
4680,1,2
4686,2,3
4691,3,11
4697,4,11
4699,5,11
4701,6,11
4704,1,11
4710,2,3
4715,3,15
4721,4,11
4723,5,11
4725,6,11
4728,1,2
4734,2,15
4739,3,11
4745,4,11
4747,5,11
4749,6,11
4752,1,3
4758,2,3
4763,3,11
4769,4,11
4771,5,11
4773,6,11
4776,1,11
4782,2,3
4787,3,11
4793,4,3
4795,5,11
4797,6,15
4800,1,11
4806,2,3
4811,3,11
4817,4,15
4819,5,11
4821,6,15
4824,1,11
4830,2,3
4835,3,11
4841,4,15
4843,5,11
4845,6,2
4848,1,11
4854,2,3
4859,3,11
4865,4,3
4867,5,11
4869,6,2
4872,1,11
4878,2,3
4883,3,11
4889,4,11
4891,5,15
4893,6,3
4896,1,2
4902,2,3
4907,3,11
4913,4,11
4915,5,11
4917,6,11
4920,1,11
4926,2,3
4931,3,3
4937,4,11
4939,5,11
4941,6,11
4944,1,11
4950,2,3
4955,3,15
4961,4,11
4963,5,11
4965,6,11
4968,1,11
4974,2,3
4979,3,11
4985,4,15
4987,5,11
4989,6,2
4992,1,3
4998,2,3
5003,3,11
5009,4,11
5011,5,11
5013,6,11
5016,1,11
5022,2,3
5027,3,15
5033,4,11
5035,5,11
5037,6,11
5040,1,3
5046,2,15
5051,3,11
5057,4,11
5059,5,11
5061,6,11
5064,1,11
5070,2,3
5075,3,11
5081,4,2
5083,5,11
5085,6,3
5088,1,3
5094,2,3
5099,3,11
5105,4,11
5107,5,11
5109,6,11
5112,1,11
5118,2,15
5123,3,11
5129,4,3
5131,5,11
5133,6,15
5136,1,15
5142,2,15
5147,3,11
5153,4,11
5155,5,11
5157,6,11
5160,1,11
5166,2,3
5171,3,11
5177,4,11
5179,5,15
5181,6,15
5184,1,15
5190,2,3
5195,3,11
5201,4,11
5203,5,11
5205,6,11
5208,1,11
5214,2,3
5219,3,11
5225,4,3
5227,5,11
5229,6,15
5232,1,11
5238,2,3
5243,3,11
5249,4,2
5251,5,11
5253,6,15
5256,1,11
5262,2,3
5267,3,11
5273,4,3
5275,5,11
5277,6,15
5280,1,11
5286,2,3
5291,3,11
5297,4,10
5299,5,11
5301,6,3
5304,1,11
5310,2,15
5315,3,11
5321,4,15
5323,5,11
5325,6,3
5328,1,3
5334,2,3
5339,3,11
5345,4,11
5347,5,11
5349,6,11
5352,1,11
5358,2,3
5363,3,11
5369,4,3
5371,5,11
5373,6,2
5376,1,11
5382,2,3
5387,3,11
5393,4,11
5395,5,15
5397,6,3
5400,1,11
5406,2,3
5411,3,11
5417,4,2
5419,5,11
5421,6,2
5424,1,15
5430,2,15
5435,3,11
5441,4,11
5443,5,11
5445,6,11
5448,1,3
5454,2,3
5459,3,11
5465,4,11
5467,5,11
5469,6,11
5472,1,15
5478,2,3
5483,3,11
5489,4,11
5491,5,11
5493,6,11
5496,1,11
5502,2,15
5507,3,11
5513,4,15
5515,5,11
5517,6,3
5520,1,15
5526,2,15
5531,3,11
5537,4,11
5539,5,11
5541,6,11
5544,1,11
5550,2,3
5555,3,11
5561,4,3
5563,5,11
5565,6,3
5568,1,11
5574,2,3
5579,3,11
5585,4,15
5587,5,11
5589,6,15
5592,1,11
5598,2,15
5603,3,11
5609,4,15
5611,5,11
5613,6,15
5616,1,11
5622,2,15
5627,3,11
5633,4,3
5635,5,11
5637,6,15
5640,1,3
5646,2,11
5651,3,11
5657,4,15
5659,5,11
5661,6,3
5664,1,11
5670,2,15
5675,3,11
5681,4,3
5683,5,11
5685,6,15
5688,1,11
5694,2,3
5699,3,11
5705,4,3
5707,5,11
5709,6,15
5712,1,3
5718,2,11
5723,3,11
5729,4,3
5731,5,11
5733,6,15
5736,1,11
5742,2,3
5747,3,11
5753,4,2
5755,5,11
5757,6,3
5760,1,15
5766,2,3
5771,3,11
5777,4,11
5779,5,11
5781,6,11
5784,1,11
5790,2,3
5795,3,11
5801,4,3
5803,5,11
5805,6,15
5808,1,11
5814,2,15
5819,3,11
5825,4,15
5827,5,11
5829,6,3
5832,1,15
5838,2,15
5843,3,11
5849,4,11
5851,5,11
5853,6,11
5856,1,11
5862,2,3
5867,3,11
5873,4,11
5875,5,3
5877,6,15
5880,1,11
5886,2,15
5891,3,11
5897,4,15
5899,5,11
5901,6,15
5904,1,3
5910,2,11
5915,3,11
5921,4,15
5923,5,11
5925,6,3
5928,1,11
5934,2,3
5939,3,11
5945,4,15
5947,5,11
5949,6,3
5952,1,11
5958,2,3
5963,3,11
5969,4,3
5971,5,11
5973,6,3
5976,1,11
5982,2,3
5987,3,11
5993,4,10
5995,5,11
5997,6,3
6000,1,15
6006,2,3
6011,3,11
6017,4,11
6019,5,11
6021,6,11
6024,1,11
6030,2,3
6035,3,11
6041,4,3
6043,5,11
6045,6,3
6048,1,11
6054,2,3
6059,3,11
6065,4,3
6067,5,11
6069,6,2
6072,1,11
6078,2,3
6083,3,11
6089,4,15
6091,5,11
6093,6,15
6096,1,3
6102,2,3
6107,3,11
6113,4,11
6115,5,11
6117,6,11
6120,1,3
6126,2,15
6131,3,11
6137,4,11
6139,5,11
6141,6,11
6144,1,11
6150,2,3
6155,3,11
6161,4,15
6163,5,11
6165,6,3
6168,1,11
6174,2,15
6179,3,11
6185,4,15
6187,5,11
6189,6,3
6192,1,11
6198,2,3
6203,3,3
6209,4,11
6211,5,11
6213,6,11
6216,1,11
6222,2,3
6227,3,11
6233,4,3
6235,5,11
6237,6,3
6240,1,11
6246,2,3
6251,3,11
6257,4,15
6259,5,11
6261,6,15
6264,1,11
6270,2,15
6275,3,11
6281,4,2
6283,5,11
6285,6,3
6288,1,11
6294,2,15
6299,3,11
6305,4,3
6307,5,11
6309,6,15
6312,1,3
6318,2,11
6323,3,11
6329,4,15
6331,5,11
6333,6,3
6336,1,15
6342,2,15
6347,3,11
6353,4,11
6355,5,11
6357,6,11
6360,1,11
6366,2,15
6371,3,11
6377,4,11
6379,5,15
6381,6,3
6384,1,11
6390,2,3
6395,3,3
6401,4,11
6403,5,11
6405,6,11
6408,1,11
6414,2,15
6419,3,11
6425,4,2
6427,5,11
6429,6,3
6432,1,3
6438,2,2
6443,3,11
